time,smoke,flame,temp,hum
61,37,1020,23.80,62.00
62,37,1020,23.80,62.00
63,37,1020,23.70,62.00
64,37,1020,23.70,62.00
65,37,1020,23.80,62.00
66,37,1020,23.80,62.00
67,37,1020,23.80,62.00
68,37,1020,23.80,62.00
69,37,1020,23.80,62.00
70,37,1020,23.80,62.00
71,37,1020,23.80,62.00
72,37,1020,23.80,62.00
73,37,1020,23.80,62.00
74,37,1020,23.80,62.00
75,37,1020,23.80,62.00
76,37,1020,23.80,62.00
77,37,1020,23.80,62.00
78,36,1020,23.80,62.00
79,36,1020,23.80,62.00
80,37,1020,23.80,62.00
81,37,1020,23.80,62.00
82,36,1020,23.80,62.00
83,37,1020,23.80,62.00
84,36,1020,23.80,62.00
85,37,1020,23.80,62.00
87,37,1020,23.80,62.00
88,36,1020,23.80,62.00
89,36,1020,23.80,62.00
90,36,1020,23.80,62.00
91,36,1020,23.80,62.00
