time,smoke,flame,temp,hum
61,36,1020,23.80,62.00
62,36,1020,23.80,62.00
63,36,1020,23.80,62.00
64,36,1020,23.80,62.00
65,36,1020,23.80,62.00
66,36,1020,23.80,62.00
67,52,1020,23.80,62.00
68,752,1020,23.80,62.00
69,776,1020,23.80,62.00
70,761,1020,23.80,62.00
71,698,119,23.80,62.00
72,628,1020,23.80,62.00
73,638,1020,23.80,62.00
74,590,281,23.80,62.00
75,527,1020,23.80,62.00
76,584,1020,23.80,62.00
77,540,1020,23.80,62.00
78,478,1021,23.80,62.00
79,432,1020,23.80,62.00
80,392,1021,23.80,62.00
81,363,1021,23.80,64.00
82,338,1021,23.80,64.00
83,316,1021,23.80,69.00
84,298,1022,23.80,69.00
86,282,1021,24.10,73.00
87,267,1022,24.10,73.00
88,254,1021,24.10,75.00
89,242,1021,24.10,75.00
90,231,1021,24.50,77.00
