created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2026-09-01T13:03:25+00:00,1,28,1021,24.80,54.00,,,,
2026-09-01T13:03:41+00:00,2,28,1021,24.50,55.00,,,,
2026-09-01T13:03:56+00:00,3,27,1021,24.80,55.00,,,,
2026-09-01T13:04:13+00:00,4,27,1021,24.80,55.00,,,,
2026-09-01T13:04:28+00:00,5,27,1021,24.80,54.00,,,,
2026-09-01T13:04:44+00:00,6,27,1021,24.80,54.00,,,,
2026-09-01T13:04:59+00:00,7,27,1021,24.80,54.00,,,,
2026-09-01T13:05:15+00:00,8,27,1021,24.80,54.00,,,,
2026-09-01T13:05:30+00:00,9,27,1021,24.80,54.00,,,,
2026-09-01T13:05:46+00:00,10,27,1021,24.80,54.00,,,,
2026-09-01T13:06:02+00:00,11,27,1021,24.80,54.00,,,,
2026-09-01T13:06:17+00:00,12,27,1021,24.80,54.00,,,,
2026-09-01T13:06:33+00:00,13,27,1021,24.80,54.00,,,,
2026-09-01T13:06:48+00:00,14,27,1021,24.80,54.00,,,,
2026-09-01T13:07:04+00:00,15,27,1021,24.80,54.00,,,,
2026-09-01T13:07:19+00:00,16,27,1021,24292,"27,1021,24.80,54.00",,,,
2026-09-01T13:07:35+00:00,17,27,1021,24.80,54.00,,,,
2026-09-01T13:07:50+00:00,18,26,1021,24.80,54.00,,,,
2026-09-01T13:08:06+00:00,19,26,1021,24.80,54.00,,,,
2026-09-01T13:08:21+00:00,20,30,1021,24.80,54.00,,,,
2026-09-01T13:08:37+00:00,21,29,1021,24.80,54.00,,,,
2026-09-01T13:08:52+00:00,22,29,1021,25.00,53.00,,,,
2026-09-01T13:09:07+00:00,23,29,1021,25.30,54.00,,,,
2026-09-01T13:09:23+00:00,24,275,1021,25.30,54.00,,,,
2026-09-01T13:09:39+00:00,25,90,1021,25.30,53.00,,,,
2026-09-01T13:09:55+00:00,26,67,1021,24.90,54.00,,,,
2026-09-01T13:10:10+00:00,27,52,1021,24.80,54.00,,,,
2026-09-01T13:10:26+00:00,28,45,1021,24.80,53.00,,,,
2026-09-01T13:10:41+00:00,29,40,1021,24.80,53.00,,,,
2026-09-01T13:10:57+00:00,30,38,1021,24.80,53.00,,,,
2026-09-01T13:11:12+00:00,31,36,1021,24.80,53.00,,,,
2026-09-01T13:14:34+00:00,32,59,1021,24.80,54.00,,,,
2026-09-01T13:14:49+00:00,33,55,1021,24.80,54.00,,,,
2026-09-01T13:15:05+00:00,34,622,1021,24.80,53.00,,,,
2026-09-01T13:15:20+00:00,35,278,519,24.80,53.00,,,,
2026-09-01T13:15:36+00:00,36,140,727,24.80,54.00,,,,
2026-09-01T13:15:51+00:00,37,88,1021,24.80,54.00,,,,
